relevant_node,manual_label,info,operation,malicious_node,malicious_type,malicious_info
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228717,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228717,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228159,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228717,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228159,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228159,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228717,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228159,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228717,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228159,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_CONNECT,228699,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228159,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228159,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228717,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228717,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
67683,0,"Netflow{'src_addr': 'LOCAL', 'src_port': '0', 'dst_addr': 'NA', 'dst_port': '0'}",EVENT_RECVFROM,228159,suspicious,"Subject{'path': '/usr/lib/thunderbird/thunderbird', 'cmd': '/usr/lib/thunderbird/thunderbird'}"
